브랜드명,국가,스킨케어,제품명,Id,가격,전성분표기,효능,피부타입,이미지url,비건인증
더온리프,한국,로션/크림,비건 그리너리 리페어 시카 크림 100g,DO2,37500,"병풀추출물,녹차수,글리세린,부틸렌글라이콜,정제수,비닐다이메티콘,나이아신아마이드,1❤️2-헥산다이올,세테아릴알코올,C12-16알코올,카프릴릭/카프릭트라이글리세라이드,세테아릴글루코사이드,하이드로제네이티드폴리데센,스쿠알란,마데카소사이드,아시아티코사이드,아시아틱애씨드,마데카식애씨드,락토바실러스발효물,하이드로제네이티드레시틴,판테놀,카보머,팔미틱애씨드,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,글리세릴카프릴레이트,알란토인,다이포타슘글리시리제이트,펜틸렌글라이콜,에틸헥실글리세린,다이소듐이디티에이,카프릴릴글라이콜,하이드롤라이즈드호호바에스터,트로메타민,카프릴릴/카프릴글루코사이드,솔비탄올리에이트,백미꽃추출물,약모밀추출물,흰버드나무껍질추출물,황금추출물","수분공급,보습,진정",민감성,https://theonleaf.kr/web/product/small/202212/8f128f21399176c70f1bfabe054a7d28.jpg,PETA
더퓨어로터스,한국,에센스/세럼/앰플,연꽃잎 모이스처 피부장벽강화 고농축 보습 에센스,DL1,33000,"연꽃잎추출물,글리세린,1❤️2-헥산다이올,부틸렌글라이콜,나이아신아마이드,하이드로제네이티드폴리(C6-14올레핀),글리세릴올리에이트시트레이트,정제수,카프릴릴글라이콜,에틸헥실글리세린,카프릴릭/카프릭트라이글리세라이드,카보머,트로메타민,잔탄검,아데노신,레몬껍질오일,다이소듐이디티에이,라벤더오일,오렌지껍질오일,옥틸도데칸올,바실러스/소이빈발효추출물,폴릭애씨드,비타민나무열매오일,센티드제라늄꽃오일,글리세릴폴리메타크릴레이트,소듐하이알루로네이트,양까막까치밥나무씨오일,프로필렌글라이콜,귤껍질추출물,난추출물,녹차추출물,동백나무잎추출물,코치닐선인장열매추출물,하이드로제네이티드레시틴,세라마이드엔피,해바라기씨오일불검화물,소듐락테이트,토코페롤,풍선덩굴꽃/잎/덩굴추출물,해바라기씨오일,로즈마리잎추출물,팔미토일트라이펩타이드-1,리모넨,시트랄,시트로넬올,제라니올,리날룰","수분공급,피부진정, 유수분밸런스조절, 피부결정돈",모든피부,https://shop-phinf.pstatic.net/20221117_148/1668647061037N9uWQ_JPEG/69782840762530366_231980326.jpg?type=f396,EVE VEGAN
더퓨어로터스,한국,에센스/세럼/앰플,제주 연꽃잎 모이스처 수분 레몬 미스트,DL2,57600,"정제수,연꽃잎추출물,카프릴릭/카프릭트라이글리세라이드,1❤️2-헥산다이올,부틸렌글라이콜,레몬껍질오일,솔비탄세스퀴올리에이트,에틸헥실글리세린,카프릴릴글라이콜,소듐클로라이드,글리세릴올리에이트시트레이트,베타인,알란토인,녹차추출물,알로에베라잎추출물,다이소듐이디티에이,비타민나무열매오일,옥틸도데칸올,양까막까치밥나무씨오일,해바라기씨오일불검화물,토코페롤,풍선덩굴꽃/잎/덩굴추출물,해바라기씨오일,로즈마리잎추출물,리모넨,시트랄,리날룰","수분공급, 피부탄력",모든피부,https://shop-phinf.pstatic.net/20230803_37/1691022899851JiQBr_JPEG/6034986940393513_360719127.jpg?type=f396,EVE VEGAN
더퓨어로터스,한국,에센스/세럼/앰플,연꽃잎 수분 피부진정 순한 보습 진정세럼,DL3,83000,"정제수,글리세린,메틸글루세스-20,연꽃잎추출물,알로에베라잎추출물,부틸렌글라이콜,나이아신아마이드,1❤️2-헥산다이올,시어버터,세테아릴올리베이트,솔비탄올리베이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,알지닌,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,녹차추출물,도둑놈의지팡이뿌리추출물,유자추출물,유칼립투스잎추출물,자몽추출물,클로브꽃추출물,향료,시트릭애씨드","수분공급,피부투명, 유수분밸런스조절","모든피부,민감성",https://shop-phinf.pstatic.net/20221118_188/1668737046105fIty5_JPEG/69872880887153723_275645611.jpg?type=f396,EVE VEGAN
러쉬,영국,스킨/토너,티 트리 워터 250g,LS1,32000,"티트리잎수,자몽수,두송열매수,향료,리모넨,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20230727_296/16904164130960k3hB_JPEG/4130544983192186_16204059.jpg?type=m510,VeganSociety
러쉬,영국,스킨/토너,오 로마 워터 250g,LS2,32000,"라벤더수,다마스크장미꽃수,향료,시트로넬올,제라니올,리모넨,리날룰,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_126/lushon_1517984477083ELuPc_JPEG/41291656725547662_414577385.jpg?type=m510,VeganSociety
러쉬,영국,스킨/토너,티 트리 워터 100g,LS3,16000,"티트리잎수,자몽수,두송열매수,향료,리모넨,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20230727_94/1690416430694q2rBt_JPEG/37381685494673652_550328730.jpg?type=m510,VeganSociety
러쉬,영국,스킨/토너,오 로마 워터 100g,LS4,16000,"라벤더수,다마스크장미꽃수,향료,시트로넬올,제라니올,리모넨,리날룰,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_86/lushon_1517984383936MEHUT_JPEG/41291563578291983_2012598393.jpg?type=m510,VeganSociety
러쉬,영국,스킨/토너,브레스 오브 프레쉬 에어 250g,LS5,32000,"온천수,해수,알로에베라잎추출물,향료,다마스크장미꽃추출물,광곽향오일,로즈우드오일,블래더랙추출물,리모넨,리날룰,아이리쉬모스추출물,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_46/lushon_1517984120105DrfAJ_JPEG/41291299746550051_-2062893283.jpg?type=m510,VeganSociety
러쉬,영국,스킨/토너,브레스 오브 프레쉬 에어 100g,LS6,16000,"온천수,해수,알로에베라잎추출물,향료,다마스크장미꽃추출물,광곽향오일,로즈우드오일,블래더랙추출물,리모넨,리날룰,아이리쉬모스추출물,메틸파라벤","수분공급,저자극,진정,트러블",모든피부,https://shop-phinf.pstatic.net/20180207_65/lushon_1517984235783geeth_JPEG/41291415425633265_440577446.jpg?type=m510,VeganSociety
